day_of_year,day_of_month,day_of_week,week_,month_,quarter_,year_,event_count,org_ct,ind_ct,repo_watch_event_count,repo,user_event_count,username
32,1,6,4,2,1,2019,1403705,475885,927820,1070,tyroprogrammer/learn-react-app,17,bvcms-teamcity
33,2,7,4,2,1,2019,957092,236020,721072,428,nextapps-de/flexsearch,28,OnlyReFLeX
34,3,1,5,2,1,2019,919768,224607,695161,900,AioiLight/TJAPlayer3,239,DzianisMatveyenka
35,4,2,5,2,1,2019,1355038,467066,887972,489,nextapps-de/flexsearch,40,stackerine
36,5,3,5,2,1,2019,1439441,505587,933854,697,toddmotto/public-apis,62,yahyaali19
37,6,4,5,2,1,2019,1594722,552220,1042502,910,pomber/github-history,60,jenkins-plone-org
38,7,5,5,2,1,2019,1633404,560820,1072584,1711,pomber/github-history,27,ksenya-torkova
39,8,6,5,2,1,2019,1634801,543853,1090948,1443,trimstray/nginx-quick-reference,64,jenkins-plone-org
40,9,7,5,2,1,2019,1198775,277478,921297,570,trimstray/nginx-quick-reference,65,yahyaali19
41,10,1,6,2,1,2019,1211093,270661,940432,600,pomber/git-history,302,DzianisMatveyenka
42,11,2,6,2,1,2019,1768560,573228,1195332,988,pomber/git-history,64,FoxBoxsnet
43,12,3,6,2,1,2019,1891952,637546,1254406,876,pomber/git-history,58,jtguggedal
44,13,4,6,2,1,2019,1879278,636859,1242419,746,uber/ludwig,50,NICE-TeamCity
45,14,5,6,2,1,2019,1823316,641985,1181331,1217,sveinbjornt/Sloth,35,generalbytes
46,15,6,6,2,1,2019,1704660,583517,1121143,1343,GoogleCloudPlatform/microservices-demo,26,mschubert
47,16,7,6,2,1,2019,1150241,297776,852465,5667,DankMemer/webhook-server,41,OnlyReFLeX
48,17,1,7,2,1,2019,1174420,274079,900341,723,trimstray/the-book-of-secret-knowledge,180,DzianisMatveyenka
49,18,2,7,2,1,2019,1785377,567883,1217494,1365,deepfakes/faceswap,36,xavierlepretre
50,19,3,7,2,1,2019,1882803,622678,1260125,891,imthenachoman/How-To-Secure-A-Linux-Server,33,0pdd
51,20,4,7,2,1,2019,1878243,618069,1260174,1910,Micropoor/Micro8,42,NICE-TeamCity
52,21,5,7,2,1,2019,1893181,631991,1261190,2803,Micropoor/Micro8,63,AnuchitO
53,22,6,7,2,1,2019,1787995,591776,1196219,2582,imhuay/Algorithm_Interview_Notes-Chinese,105,gitsa2019ccc
54,23,7,7,2,1,2019,1194008,301969,892039,1064,mbinary/USTC-CS-Courses-Resource,36,3dsexploits
55,24,1,8,2,1,2019,1234331,291024,943307,890,mbinary/USTC-CS-Courses-Resource,194,DzianisMatveyenka
56,25,2,8,2,1,2019,1924226,629827,1294399,1529,mbinary/USTC-CS-Courses-Resource,69,bvcms-teamcity
57,26,3,8,2,1,2019,2009651,668756,1340895,2341,mbinary/USTC-CS-Courses-Resource,50,bvcms-teamcity
58,27,4,8,2,1,2019,1923071,656035,1267036,1673,Microsoft/frontend-bootcamp,45,NICE-TeamCity
59,28,5,8,2,1,2019,1894941,634424,1260517,2313,mbinary/USTC-CS-Courses-Resource,40,NICE-TeamCity
60,1,6,8,3,1,2019,1747814,585370,1162444,1355,mbinary/USTC-CS-Courses-Resource,60,elpiankova
61,2,7,8,3,1,2019,1214507,315822,898685,901,mbinary/USTC-CS-Courses-Resource,29,aoya6i
62,3,1,9,3,1,2019,1237916,291242,946674,563,pikapkg/web,131,DzianisMatveyenka
63,4,2,9,3,1,2019,1876243,619341,1256902,933,mbinary/USTC-CS-Courses-Resource,47,NICE-TeamCity
64,5,3,9,3,1,2019,1912467,641249,1271218,741,alibaba/fish-redux,111,bvcms-teamcity
65,6,4,9,3,1,2019,1904967,654130,1250837,4908,NationalSecurityAgency/ghidra,73,NICE-TeamCity
66,7,5,9,3,1,2019,1902955,648639,1254316,4965,Microsoft/calculator,56,bvcms-teamcity
67,8,6,9,3,1,2019,1741877,578043,1163834,2659,Microsoft/calculator,78,NICE-TeamCity
68,9,7,9,3,1,2019,1195575,303286,892289,1024,Microsoft/calculator,31,aoya6i
69,10,1,10,3,1,2019,1231049,289152,941897,872,gotify/server,139,DzianisMatveyenka
