datetime,day_of_year,week,day_of_week,event_count
"2019-01-01 23:59:59 UTC",1,0,3,720838
"2019-01-02 23:59:59 UTC",2,0,4,1261340
"2019-01-03 23:59:59 UTC",3,0,5,1345160
"2019-01-04 23:59:59 UTC",4,0,6,1309086
"2019-01-05 23:59:59 UTC",5,0,7,914157
"2019-02-01 23:59:59 UTC",32,4,6,1403705
"2019-02-02 23:59:59 UTC",33,4,7,957092
"2019-02-03 23:59:59 UTC",34,5,1,919768
"2019-02-04 23:59:59 UTC",35,5,2,1355038
"2019-02-05 23:59:59 UTC",36,5,3,1439441
"2019-02-06 23:59:59 UTC",37,5,4,1594722
"2019-02-07 23:59:59 UTC",38,5,5,1633404
"2019-02-08 23:59:59 UTC",39,5,6,1634801
"2019-02-09 23:59:59 UTC",40,5,7,1198775
"2019-02-10 23:59:59 UTC",41,6,1,1211093
"2019-02-11 23:59:59 UTC",42,6,2,1768560
"2019-02-12 23:59:59 UTC",43,6,3,1891952
"2019-02-13 23:59:59 UTC",44,6,4,1879278
"2019-02-14 23:59:59 UTC",45,6,5,1823316
"2019-02-15 23:59:59 UTC",46,6,6,1704660
"2019-02-16 23:59:59 UTC",47,6,7,1150241
"2019-02-17 23:59:59 UTC",48,7,1,1174420
"2019-02-18 23:59:59 UTC",49,7,2,1785377
"2019-02-19 23:59:56 UTC",50,7,3,1882803
"2019-02-20 23:59:59 UTC",51,7,4,1878243
"2019-02-21 23:59:59 UTC",52,7,5,1893181
"2019-02-22 23:59:59 UTC",53,7,6,1787995
"2019-02-23 23:59:59 UTC",54,7,7,1194008
"2019-02-24 23:59:59 UTC",55,8,1,1234331
"2019-02-25 23:59:59 UTC",56,8,2,1924226
"2019-02-26 23:59:59 UTC",57,8,3,2009651
"2019-02-27 23:59:59 UTC",58,8,4,1923071
"2019-02-28 23:59:59 UTC",59,8,5,1894941
"2019-03-01 23:59:59 UTC",60,8,6,1747814
"2019-03-02 23:59:59 UTC",61,8,7,1214507
"2019-03-03 23:59:59 UTC",62,9,1,1237916
"2019-03-04 23:59:59 UTC",63,9,2,1876243
"2019-03-05 23:59:59 UTC",64,9,3,1912467
"2019-03-06 23:59:59 UTC",65,9,4,1904967
"2019-03-07 23:59:59 UTC",66,9,5,1902955
"2019-03-08 23:59:59 UTC",67,9,6,1741877
"2019-03-09 23:59:59 UTC",68,9,7,1195575
"2019-03-10 23:59:59 UTC",69,10,1,1231049
"2019-03-11 23:59:59 UTC",70,10,2,1891992
"2019-03-12 23:59:59 UTC",71,10,3,1918414
"2019-03-13 23:59:59 UTC",72,10,4,1802183
"2019-03-14 23:59:59 UTC",73,10,5,1906164
"2019-03-15 23:59:59 UTC",74,10,6,1757964
"2019-03-16 23:59:59 UTC",75,10,7,1153675
"2019-03-17 23:59:59 UTC",76,11,1,1189471
"2019-03-18 23:59:59 UTC",77,11,2,1891290
"2019-03-19 23:59:59 UTC",78,11,3,1944320
"2019-03-20 23:59:59 UTC",79,11,4,1984382
"2019-03-21 23:59:59 UTC",80,11,5,1881011
"2019-03-22 23:59:59 UTC",81,11,6,1780762
"2019-03-23 23:59:59 UTC",82,11,7,1174747
"2019-03-24 23:59:59 UTC",83,12,1,1243378
"2019-03-25 23:59:59 UTC",84,12,2,1877924
"2019-03-26 23:59:59 UTC",85,12,3,1987818
